Tool,L0_GPT4o_Calls,L0_GPT4o_Success,L0_GPT4o_Failures,L0_GPT4o_ExpectedErrors,L0_GPT4o_SuccessRate,L0_GPT4.1_Calls,L0_GPT4.1_Success,L0_GPT4.1_Failures,L0_GPT4.1_ExpectedErrors,L0_GPT4.1_SuccessRate,L1_GPT4o_Calls,L1_GPT4o_Success,L1_GPT4o_Failures,L1_GPT4o_ExpectedErrors,L1_GPT4o_SuccessRate,L1_GPT4.1_Calls,L1_GPT4.1_Success,L1_GPT4.1_Failures,L1_GPT4.1_ExpectedErrors,L1_GPT4.1_SuccessRate,L2_GPT4o_Calls,L2_GPT4o_Success,L2_GPT4o_Failures,L2_GPT4o_ExpectedErrors,L2_GPT4o_SuccessRate,L2_GPT4.1_Calls,L2_GPT4.1_Success,L2_GPT4.1_Failures,L2_GPT4.1_ExpectedErrors,L2_GPT4.1_SuccessRate
calculate,29,29,0,0,100.0%,15,15,0,0,100.0%,25,25,0,0,100.0%,9,9,0,0,100.0%,6,6,0,0,100.0%,4,4,0,0,100.0%
calculate_order_total_excluding_items,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,4,4,0,0,100.0%,6,4,0,2,66.7%
calculate_order_total_with_item_replacement,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,12,12,0,0,100.0%,19,19,0,0,100.0%
calculate_refund_total_for_items,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,18,18,0,0,100.0%,19,19,0,0,100.0%
cancel_pending_order,28,27,0,1,96.4%,22,22,0,0,100.0%,27,26,0,1,96.3%,23,23,0,0,100.0%,26,25,0,1,96.2%,24,23,0,1,95.8%
check_order_modification_status,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,3,3,0,0,100.0%,21,21,0,0,100.0%
count_available_product_variants,0,0,0,0,0%,0,0,0,0,0%,5,5,0,0,100.0%,4,4,0,0,100.0%,2,2,0,0,100.0%,3,3,0,0,100.0%
exchange_delivered_order_items,42,32,0,10,76.2%,40,32,0,8,80.0%,42,32,0,10,76.2%,36,33,0,3,91.7%,41,32,1,8,78.0%,36,28,0,8,77.8%
find_user_id_by_email,34,24,0,10,70.6%,47,24,0,23,51.1%,35,24,0,11,68.6%,56,24,0,32,42.9%,34,24,0,10,70.6%,48,23,2,23,47.9%
find_user_id_by_name_zip,94,90,0,4,95.7%,94,90,1,3,95.7%,94,89,1,4,94.7%,91,88,0,3,96.7%,94,89,1,4,94.7%,94,89,2,3,94.7%
get_all_items_in_order,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,11,11,0,0,100.0%,42,42,0,0,100.0%
get_cheapest_available_variant,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,36,36,0,0,100.0%,31,31,0,0,100.0%
get_input_from_user,0,0,0,0,0%,1,1,0,0,100.0%,0,0,0,0,0%,1,1,0,0,100.0%,0,0,0,0,0%,0,0,0,0,0%
get_item_details_in_order,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,5,3,2,0,60.0%,7,4,3,0,57.1%
get_item_price_and_options_in_order,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,3,0,0,3,0.0%
get_item_tracking_info,0,0,0,0,0%,0,0,0,0,0%,1,1,0,0,100.0%,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%
get_most_expensive_available_variant,0,0,0,0,0%,0,0,0,0,0%,19,19,0,0,100.0%,8,8,0,0,100.0%,3,3,0,0,100.0%,3,3,0,0,100.0%
get_order_details,300,299,0,1,99.7%,314,311,2,1,99.0%,297,294,2,1,99.0%,299,294,3,2,98.3%,302,300,2,0,99.3%,278,276,2,0,99.3%
get_order_refund_total,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,2,2,0,0,100.0%,0,0,0,0,0%
get_order_total,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,3,3,0,0,100.0%,4,3,0,1,75.0%
get_order_total_after_modification,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,1,1,0,0,100.0%,2,2,0,0,100.0%
get_order_tracking_info,0,0,0,0,0%,0,0,0,0,0%,6,6,0,0,100.0%,5,5,0,0,100.0%,10,10,0,0,100.0%,2,2,0,0,100.0%
get_pending_orders_for_user,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,8,8,0,0,100.0%,13,13,0,0,100.0%
get_product_details,123,123,0,0,100.0%,111,111,0,0,100.0%,116,114,1,1,98.3%,109,106,2,1,97.2%,91,90,1,0,98.9%,91,88,2,1,96.7%
get_return_refund_options,0,0,0,0,0%,0,0,0,0,0%,6,0,6,0,0.0%,61,35,26,0,57.4%,3,0,3,0,0.0%,57,35,22,0,61.4%
get_user_details,111,111,0,0,100.0%,110,110,0,0,100.0%,105,105,0,0,100.0%,110,109,1,0,99.1%,104,103,1,0,99.0%,105,105,0,0,100.0%
get_user_payment_methods,0,0,0,0,0%,0,0,0,0,0%,23,23,0,0,100.0%,38,38,0,0,100.0%,19,19,0,0,100.0%,44,44,0,0,100.0%
list_all_product_types,8,8,0,0,100.0%,15,15,0,0,100.0%,10,10,0,0,100.0%,12,12,0,0,100.0%,13,13,0,0,100.0%,16,16,0,0,100.0%
modify_pending_order_address,20,17,0,3,85.0%,19,17,0,2,89.5%,20,17,0,3,85.0%,21,19,0,2,90.5%,14,13,0,1,92.9%,20,17,1,2,85.0%
