Tool,L0,L1,L2
calculate,Yes,Yes,Yes
calculate_order_total_excluding_items,No,No,Yes
calculate_order_total_with_item_replacement,No,No,Yes
calculate_refund_total_for_items,No,No,Yes
cancel_pending_order,Yes,Yes,Yes
check_order_modification_status,No,No,Yes
confirm_and_execute_exchange_delivered_order_items,No,No,Yes
count_available_product_variants,No,Yes,Yes
exchange_delivered_order_items,Yes,Yes,Yes
find_user_id_by_email,Yes,Yes,Yes
find_user_id_by_name_zip,Yes,Yes,Yes
get_all_items_in_order,No,No,Yes
get_cheapest_available_variant,No,No,Yes
get_input_from_user,Yes,Yes,Yes
get_item_details_in_order,No,No,Yes
get_item_price_and_options_in_order,No,No,Yes
get_item_tracking_info,No,Yes,Yes
get_most_expensive_available_variant,No,Yes,Yes
get_order_details,Yes,Yes,Yes
get_order_refund_total,No,No,Yes
get_order_total,No,No,Yes
get_order_total_after_modification,No,No,Yes
get_order_tracking_info,No,Yes,Yes
get_pending_orders_for_user,No,No,Yes
get_product_details,Yes,Yes,Yes
get_return_refund_options,No,Yes,Yes
get_user_details,Yes,Yes,Yes
get_user_payment_methods,No,Yes,Yes
list_all_product_types,Yes,Yes,Yes
modify_pending_order_address,Yes,Yes,Yes
modify_pending_order_addresses_bulk,No,No,Yes
modify_pending_order_items,Yes,Yes,Yes
modify_pending_order_payment,Yes,Yes,Yes
modify_user_address,Yes,Yes,Yes
prepare_pending_order_item_modifications,No,No,Yes
return_all_delivered_order_items,No,No,Yes
return_delivered_order_items,Yes,Yes,Yes
suggest_replacement_variant,No,No,Yes
summarize_user_requested_actions,No,No,Yes
think,Yes,Yes,Yes
transfer_to_human_agents,Yes,Yes,Yes
